observation_date,RSXFSN,CPIAUCSL
1/1/92,130683,138.3
2/1/92,131244,138.6
3/1/92,142488,139.1
4/1/92,147175,139.4
5/1/92,152420,139.7
6/1/92,151849,140.1
7/1/92,152586,140.5
8/1/92,152476,140.8
9/1/92,148158,141.1
10/1/92,155987,141.7
11/1/92,154824,142.1
12/1/92,191347,142.3
1/1/93,137020,142.8
2/1/93,134462,143.1
3/1/93,153025,143.3
4/1/93,158615,143.8
5/1/93,163519,144.2
6/1/93,162964,144.3
7/1/93,164590,144.5
8/1/93,163989,144.8
9/1/93,159298,145
10/1/93,163992,145.6
11/1/93,169980,146
12/1/93,206174,146.3
1/1/94,145276,146.3
2/1/94,146332,146.7
3/1/94,173562,147.1
4/1/94,170795,147.2
5/1/94,175527,147.5
6/1/94,178509,147.9
7/1/94,173198,148.4
8/1/94,182445,149
9/1/94,175128,149.3
10/1/94,178642,149.4
11/1/94,184272,149.8
12/1/94,221549,150.1
1/1/95,158004,150.5
2/1/95,155156,150.9
3/1/95,181910,151.2
4/1/95,176635,151.8
5/1/95,190269,152.1
6/1/95,191609,152.4
7/1/95,182909,152.6
8/1/95,193370,152.9
9/1/95,182521,153.1
10/1/95,184276,153.5
11/1/95,193405,153.7
12/1/95,227552,153.9
1/1/96,167372,154.7
2/1/96,173941,155
3/1/96,191851,155.5
4/1/96,191886,156.1
5/1/96,205797,156.4
6/1/96,196842,156.7
7/1/96,197140,157
8/1/96,204270,157.2
9/1/96,189424,157.7
10/1/96,201927,158.2
11/1/96,203621,158.7
12/1/96,237478,159.1
1/1/97,181073,159.4
2/1/97,178428,159.7
3/1/97,203750,159.8
4/1/97,199219,159.9
5/1/97,211516,159.9
6/1/97,205491,160.2
7/1/97,208856,160.4
8/1/97,211952,160.8
9/1/97,201415,161.2
10/1/97,210145,161.5
11/1/97,207533,161.7
12/1/97,249389,161.8
1/1/98,187445,162
2/1/98,183767,162
3/1/98,207973,162
4/1/98,212262,162.2
5/1/98,221155,162.6
6/1/98,220867,162.8
7/1/98,217687,163.2
8/1/98,216605,163.4
9/1/98,208915,163.5
10/1/98,220499,163.9
11/1/98,218969,164.1
12/1/98,265618,164.4
1/1/99,196810,164.7
2/1/99,199451,164.7
3/1/99,230230,164.8
4/1/99,227109,165.9
5/1/99,237462,166
6/1/99,236830,166
7/1/99,236992,166.7
8/1/99,240478,167.1
9/1/99,230665,167.8
10/1/99,233193,168.1
11/1/99,240857,168.4
12/1/99,293013,168.8
1/1/00,213709,169.3
2/1/00,227087,170
3/1/00,253717,171
4/1/00,239051,170.9
5/1/00,257581,171.2
6/1/00,255066,172.2
7/1/00,244445,172.7
8/1/00,257487,172.7
9/1/00,243624,173.6
10/1/00,245167,173.9
11/1/00,252145,174.2
12/1/00,294197,174.6
1/1/01,226791,175.6
2/1/01,223971,176
3/1/01,253439,176.1
4/1/01,249062,176.4
5/1/01,268658,177.3
6/1/01,260315,177.7
7/1/01,251504,177.4
8/1/01,266460,177.4
9/1/01,236210,178.1
10/1/01,265188,177.6
11/1/01,262004,177.5
12/1/01,298666,177.4
1/1/02,230546,177.7
2/1/02,228084,178
3/1/02,257133,178.5
4/1/02,257357,179.3
5/1/02,271682,179.5
6/1/02,260385,179.6
7/1/02,266795,180
8/1/02,277716,180.5
9/1/02,246350,180.8
10/1/02,259945,181.2
11/1/02,263738,181.5
12/1/02,308821,181.8
1/1/03,242271,182.6
2/1/03,233478,183.6
3/1/03,264532,183.9
4/1/03,265990,183.2
5/1/03,281482,182.9
6/1/03,271242,183.1
7/1/03,279323,183.7
8/1/03,285212,184.5
9/1/03,265331,185.1
10/1/03,273781,184.9
11/1/03,272396,185
12/1/03,327693,185.5
1/1/04,252818,186.3
2/1/04,253689,186.7
3/1/04,287944,187.1
4/1/04,284325,187.4
5/1/04,296253,188.2
6/1/04,289664,188.9
7/1/04,294875,189.1
8/1/04,294133,189.2
9/1/04,282974,189.8
10/1/04,287468,190.8
11/1/04,294278,191.7
12/1/04,354627,191.7
1/1/05,263469,191.6
2/1/05,265320,192.4
3/1/05,306384,193.1
4/1/05,302054,193.7
5/1/05,311292,193.6
6/1/05,317375,193.7
7/1/05,316887,194.9
8/1/05,321409,196.1
9/1/05,300439,198.8
10/1/05,302213,199.1
11/1/05,311715,198.1
12/1/05,370726,198.1
1/1/06,286152,199.3
2/1/06,282417,199.4
3/1/06,326153,199.7
4/1/06,316526,200.7
5/1/06,337393,201.3
6/1/06,330844,201.8
7/1/06,325905,202.9
8/1/06,339155,203.8
9/1/06,310775,202.8
10/1/06,312976,201.9
11/1/06,323089,202
12/1/06,380188,203.1
1/1/07,295284,203.437
2/1/07,290065,204.226
3/1/07,335917,205.288
4/1/07,321981,205.904
5/1/07,353201,206.755
6/1/07,338189,207.234
7/1/07,333815,207.603
8/1/07,349191,207.667
9/1/07,317145,208.547
10/1/07,331073,209.19
11/1/07,341848,210.834
12/1/07,387473,211.445
1/1/08,307576,212.174
2/1/08,308171,212.687
3/1/08,334416,213.448
4/1/08,331002,213.942
5/1/08,357277,215.208
6/1/08,339791,217.463
7/1/08,344158,219.016
8/1/08,342443,218.69
9/1/08,313308,218.877
10/1/08,311422,216.995
11/1/08,299238,213.153
12/1/08,346513,211.398
1/1/09,273998,211.933
2/1/09,264465,212.705
3/1/09,290068,212.495
4/1/09,292041,212.709
5/1/09,307481,213.022
6/1/09,306050,214.79
7/1/09,308847,214.726
8/1/09,314505,215.445
9/1/09,288071,215.861
10/1/09,300360,216.509
11/1/09,303850,217.234
12/1/09,362735,217.347
1/1/10,279044,217.488
2/1/10,275566,217.281
3/1/10,321305,217.353
4/1/10,316940,217.403
5/1/10,324820,217.29
6/1/10,319183,217.199
7/1/10,320915,217.605
8/1/10,322319,217.923
9/1/10,307638,218.275
10/1/10,315059,219.035
11/1/10,328381,219.59
12/1/10,386878,220.472
1/1/11,298626,221.187
2/1/11,299920,221.898
3/1/11,345052,223.046
4/1/11,339014,224.093
5/1/11,348979,224.806
6/1/11,346620,224.806
7/1/11,341381,225.395
8/1/11,352224,226.106
9/1/11,333642,226.597
10/1/11,337067,226.75
11/1/11,351517,227.169
12/1/11,408910,227.223
1/1/12,315540,227.842
2/1/12,331470,228.329
3/1/12,368502,228.807
4/1/12,349194,229.187
5/1/12,373129,228.713
6/1/12,356083,228.524
7/1/12,351520,228.59
8/1/12,372986,229.918
9/1/12,342582,231.015
10/1/12,355823,231.638
11/1/12,368593,231.249
12/1/12,416807,231.221
1/1/13,333694,231.679
2/1/13,332469,232.937
3/1/13,374161,232.282
4/1/13,362960,231.797
5/1/13,389674,231.893
6/1/13,369305,232.445
7/1/13,376960,232.9
8/1/13,388208,233.456
9/1/13,352655,233.544
10/1/13,369753,233.669
11/1/13,378665,234.1
12/1/13,430538,234.719
1/1/14,340439,235.288
2/1/14,337453,235.547
3/1/14,383540,236.028
4/1/14,383796,236.468
5/1/14,408258,236.918
6/1/14,385463,237.231
7/1/14,394680,237.498
8/1/14,401432,237.46
9/1/14,374381,237.477
10/1/14,388364,237.43
11/1/14,391470,236.983
12/1/14,451049,236.252
1/1/15,350274,234.747
2/1/15,341829,235.342
3/1/15,393097,235.976
4/1/15,387360,236.222
5/1/15,409460,237.001
6/1/15,397804,237.657
7/1/15,406543,238.034
8/1/15,404903,238.033
9/1/15,381959,237.498
10/1/15,392551,237.733
11/1/15,395988,238.017
12/1/15,463894,237.761
1/1/16,351667,237.652
2/1/16,363412,237.336
3/1/16,404873,238.08
4/1/16,394629,238.992
5/1/16,412916,239.557
6/1/16,409963,240.222
7/1/16,405871,240.101
8/1/16,416410,240.545
9/1/16,394122,241.176
10/1/16,397328,241.741
11/1/16,413841,242.026
12/1/16,481923,242.637
1/1/17,369068,243.618
2/1/17,365596,244.006
3/1/17,423024,243.892
4/1/17,407275,244.193
5/1/17,434531,244.004
6/1/17,423102,244.163
7/1/17,416927,244.243
8/1/17,431816,245.183
9/1/17,412534,246.435
10/1/17,417757,246.626
11/1/17,441896,247.284
12/1/17,496688,247.805
1/1/18,389624,248.859
2/1/18,380456,249.529
3/1/18,444725,249.577
4/1/18,420206,250.227
5/1/18,464422,250.792
6/1/18,443762,251.018
7/1/18,441712,251.214
8/1/18,456103,251.663
9/1/18,417148,252.182
10/1/18,442154,252.772
11/1/18,459625,252.594
12/1/18,493444,252.767
1/1/19,399276,252.561
2/1/19,384814,253.319
3/1/19,446781,254.277
4/1/19,442504,255.233
5/1/19,475630,255.296
6/1/19,448131,255.213
7/1/19,461608,255.802
8/1/19,472933,256.036
9/1/19,428472,256.43
10/1/19,455157,257.155
11/1/19,467368,257.879
12/1/19,518796,258.63
1/1/20,417244,259.127
2/1/20,413857,259.25
3/1/20,425698,258.076
4/1/20,376261,256.032
5/1/20,461122,255.802
6/1/20,478936,257.042
7/1/20,492070,258.352
8/1/20,486727,259.316
9/1/20,473267,259.997
10/1/20,493034,260.319
11/1/20,490451,260.911
12/1/20,557046,262.045
1/1/21,461994,262.639
2/1/21,437538,263.573
3/1/21,560731,264.847
4/1/21,554610,266.625
5/1/21,565431,268.404
6/1/21,557682,270.71
7/1/21,552194,271.965
8/1/21,549895,272.752
9/1/21,528288,273.942
10/1/21,552729,276.528
11/1/21,573608,278.824
12/1/21,625145,280.806
1/1/22,514659,282.542
2/1/22,505128,284.525
3/1/22,595064,287.467
4/1/22,592577,288.582
5/1/22,612080,291.299
6/1/22,605074,295.072
7/1/22,595135,294.94
8/1/22,608423,295.162
9/1/22,572457,296.421
10/1/22,591560,297.979
11/1/22,599732,298.708
12/1/22,649106,298.808
1/1/23,545318,300.456
2/1/23,526218,301.476
3/1/23,600348,301.643
4/1/23,584626,302.858
5/1/23,627266,303.316
6/1/23,608430,304.099
7/1/23,601631,304.615
8/1/23,624457,306.138
9/1/23,589258,307.374
10/1/23,604435,307.653
11/1/23,619189,308.087
12/1/23,668957,308.735
1/1/24,552441,309.794
2/1/24,555528,311.022
3/1/24,609462,312.107
4/1/24,605419,313.016
5/1/24,643843,313.14
6/1/24,604360,313.131
7/1/24,629309,313.566
8/1/24,633664,314.131
9/1/24,589777,314.851
10/1/24,633013,315.564
11/1/24,641949,316.449
12/1/24,703832,317.603
1/1/25,576061,319.086
2/1/25,551844,319.775